A,B,C,D
Kenny Rogers,Very Best Of Kenny Rogers,Love Is What We Make It,1999
Anane,Let's Get High,Let's Get High (Yves Larock Radio Edit w Rap),0
Andy Griffith,Somebody Bigger Than You And I,Turn Yourn Radio On,0
Tranzas,Serenata,Serenata,0
The Rolling Stones,Live Licks,Start Me Up,1981
Les Hou-Lops,Vendredi m'obsède,C'est pour vous que je chante,0
Yndio,Lo Basico,Mi Vida Se Pinto De Gris,0
The Meatmen,Cover the Earth,So Long (Originally Performed by Abba),0
Leroy Hutson,Leroy Hutson Selected Hits Vol. 2,Lucky Fellow - Original,0
The Sonics_ Charlie & The Tunas,The Sonics Meet Charlie & The Tunas,Brown Eyed Girl,0
Mum,The Szabotnik 15 Mission,Mr. Crump,0
Nora,Split - EP,The Power Of,0
The New York Dolls,Too Much Too Soon,Human Being,1974
Liquid Spill,Words,Words- Till the mornin' comes Mix,0
Brenda Lee,The Gospel Side Of Brenda Lee,Having A Little Talk With Jesus,0
Sukshinder Shinda,The Way It Is,Jumke,0
Led Zeppelin,Led Zeppelin III,Immigrant Song (Album Version),1970
Various Production,Tricycle EP,Bside,2009
Nightwish,Once,Kuolema Tekee Taiteilijan,2004
B.B. King,The Very Best Of The Early Years,Please Love Me,1956
The Beatles / Tony Sheridan,Total 60s,Ain't She Sweet,1964
Los Fabulosos Cadillacs,El Ritmo Mundial,Twist Y Gritos (Twist & Shout),1988
Brian Tyler,Partition,Festival Of Holi,2007
Mississippi John Hurt,Blues Routes Mississippi John Hurt,Coffee Blues,1966
The Rascals,Collections,No Love To Give (LP Version),0
The Black Crowes,Before the Frost... Until the Freeze,Good Morning Captain,2009
Aerosmith,Night In The Ruts,Reefer Head Woman,1979
Scweez,"Rich Kidd Compilation Volume 3 ""Running the Game",Don't Stop,0
Edmundo Ros,The Latin Sounds of Edmundo Ros,Un Minuto Contigo (One Moment),0
Fläskkvartetten / Daniel Bellqvist,Voices of Eden,You Were There,0
Albin Myers,Defected In The House Ibiza 09,BOOM!!!,0
Marcel Azzola,L'Accordeoniste,Mon Legionnaire,0
John Fogerty,Eye Of The Zombie,Soda Pop,1986
Nazz,13th And Pine,It Must Be Everywhere (Complete Version),0
Agency 1.9.9.4,Undergrounds Series Vol. 1: Dayz Of Our Livez,Everyday Struggle (Bonus),0
Pee Wee King,Country_ Honky Tonk and Hillbilly Classic,Tennessee Central Number Nine,0
DJ Harry,Collision,Other Side of You,2004
Pescado Rabioso,Pescado Rabioso 2,¡Hola_ Pequeño Ser!,1973
Leann Rimes & Brian McFadden,Everybody's Someone,Everybody's Someone (Gateway Mix),0
2XL,Neighborhood Rapstar,Kissing Game,0
Gonzalo Rubalcaba,Mi Gran Pasion,Principe Nino,0
Precious Bryant,Fool Me Good,Blues All Around My Bed,2002
Frost,Cursed Again & Talking To God,Two of a Kind,0
Dylan Kuo,Not Anymore,Shen Lai,0
The Bronx Horns,Silver In the Bronx,The Preacher,0
Audio Adrenaline,In The Name Of Love,Gloria (In The Name Of Love Album Version),0
D.R.S.,Gangsta Lean,Gangsta Lean (Gangstapella),1993
Robert Palmer,Gold,Man Smart Woman Smarter,0
Galactic,Crazyhorse Mongoose,Cafe deClouet,1998
The Chieftains,Music Of The Celtic Harp,Carolan's Concerto,1971
Klubbingman feat. Beatrix Delgado,Another Day Another Night,Another Day Another Night,0
Leona Naess,Comatised,Paper Thin,2000
Yolandita Monge,Yolandita Monge Selected Hits Vol. 1,Cierra Los Ojos Y Juntos Recordemos - Original,0
Pam Thum,Faithful,See You in the Morning,0
The Harvard Lampoon Comedians,The Harvard Lampoon Comedy CD - No Escape From Danger,Hired Security,0
Hatebreed,Supremacy,Destroy Everything (Album Version),2006
David Guetta - Joachim Garraud - Chris Willis,Love Is Gone,Love Is Gone (Eddie Thoneick's Liberte Mix),0
Anti-Flag,The People or The Gun,The Gre(A)t Depression,2009
Barbara Fairchild,Stories,Comfort Creek,0
Information Society,Hack,Slipping Away/Here Is Kazmeyer,1990
Perrey And Kingsley,The Out Sound From Way In!,The Unidentified Flying Object,1988
Julien Clerc,Olympia 94,Ma Préférence (Live),1994
Kuijken Kwartet,Mozart: Requiem KV 626 - Version For String Quartet by Peter Lichtenthal,Introitus: Requiem: Dies Irae,0
Pelt,Skullfuck (Bestio Tergum Degero),Bestio Tergum Degero Pt. 3,0
Lupe Fiasco,Lupe Fiasco's Food & Liquor,Kick_ Push II (Album Version),0
Dr. Elmo,Dr. Elmo's Twisted Christmas,Christmas Won't be the Same Without Johnny,0
The Jason Bonham Band,MAD HATTER,Hold On,1992
Her Majesty's Finest,Warning Bell,Snapshot Samurai,0
Busta Rhymes,Genesis,We Got What You Want,2001
Anti-Flag,Live at the Fireside Bowl,I Don't Wanna be a War Hero,2003
Less Than Jake,Losing Streak,Automatic,1996
Tyrone Taylor,Reggae Max,True Love,0
T.G. Sheppard,The Very Best Of,You're My First Lady,1992
David Jalbert,Faure: Complete Nocturnes - David Jalbert,Nocturne For Piano No. 5 In B Flat Major_ Op. 37,0
Vixen,Vixen,One Night Alone,1988
Kol Simcha,Voice Of Joy,Why,0
Bill Douglas,Jewel Lake,Infant Dreams,0
VHS Or Beta,Night On Fire,Forever,2004
Paul Taylor,Nightlife,East Bay Bounce,0
Joey McIntyre,Talk To Me,All The Way,0
Greek Gypsy Musicians,Music of the Greek Gypsies,Teska (Teska),0
Dennis Brown,Ragga With Maximum Respect,Ballroom Floor,0
Wyclef Jean featuring will.i.am and Melissa Jiménez;Wyclef Jean featuring Machel Montano_ Daniela Mercury_ Black Alex_ and Djakout Mizik,CARNIVAL VOL. II Memoirs of an Immigrant,Touch Your Button Carnival Jam,0
Kingston Trio,The M.T.A.,Goodnight Irene,0
Be Bop Deluxe,Air Age Anthology,Music In Dreamland,1975
Peret,Peret Y Su Rumba,Ole Con Ole,0
Josh Mullins,I Wouldn't Buy This Either,Mom,0
Big Audio Dynamite,Planet Bad Greatest Hits,Free (lp),0
The Disposable Heroes Of Hiphoprisy,Hypocrisy Is The Greatest Luxury,Music And Politics,1992
Clementina De Jesus,Nova Bis-Clementina de Jesus,Itinerario,0
The Velvet Underground,The Velvet Underground Story 2CD Set,Stephanie Says,1985
Jean Marc Thibault,Chantez,Fleur De Paris,0
Mazz,15 Exitos,Más Y Más,0
Barry Manilow,Here At The Mayflower,Say Goodbye,0
Headliners,Das Album zum Film,90er,2006
Sabda Brahma,Dham Rockas,Jahuu_ Gandiva laulaa!,0
KT Tunstall,Eye To The Telescope,Under The Weather,2004
Alias,Alias,After All The Love Is Gone,0
David Saylor,True Reflection,Big World,0
Andrae Crouch,More Of The Best,Jesus Is the Lord,0
Gertrudis,Teta,Carita De Rosa,2003
The Prodigy,Always Outnumbered_ Never Outgunned,Wake Up Call (Album Version),0
Phil Collins,Both Sides,Please Come Out Tonight,1993
Arthur Tracy,Street Singer,Where Are You?,0
Huey Dunbar,Music For My Peoples,Llegaste Tú,0
Gorillaz,Dirty Harry,All Alone (Live),2005
Russ Morgan,Music In The Morgan Manner (Digitally Remastered),The Object Of My Affection,0
Clara Nunes,Guerreira,Zambele (1997 Digital Remaster),0
Philippe Sarde,Sister Mary Explains It All,LOVESICK - Obsession in ¾ Time,0
The Distillers,The Distillers,World Comes Tumblin' Down,2000
Carlos Baute,Directo en tus manos,Pobre diabla (Directo 09),0
Warrant,Cherry Pie,Bed Of Roses,0
Lil Wayne,500 Degreez,Fly Talkin',0
Placebo,Every You Every Me,Every You Every Me (Infected By The Scourge Of The Earth),1999
Barbara Lusch,Barbara Lusch,Bonita,0
You Should Go Ahead,Emotional cocktail,Losing track,0
Harry Choates,Fiddle King Of Cajun Swing,Jole Brun,0
Spade Cooley,King Of Western Swing_ Vol. 4,Youll Rue The Day,0
Timo Maas,Pictures,First Day (Album version),2005
Bon Jovi / Ray Davies,Misunderstood,Celluloid Heroes,2002
Studio,West Coast,Indo,0
Bill Cosby,Revenge,Wives ( LP Version ),1967
Pete Miser,What It Be...,Credits,0
Xzibit,Restless,Loud & Clear (featuring Defari_ King T & Butch Cassidy),2000
Hushabye Baby,Hushaby Baby: Lullaby Renditions of Garth Brooks,Two of a Kind_ Workin' on a Full House,0
Alain Turban,Chanter L'Ardèche,L'Ardechoise Aux Cheveux Blanc,0
Cactus,"Cactology ""The Cactus Collection",Bro. Bill  (LP Version),0
Lili Ivanova,Illusion Called Love (Iljuzia narchena Lyubov),Pokrusa,0
brokeNCYDE,BC 13-EP,Freaxxx,2008
Dr. Elmo,Love Death & Taxes,Don't Mess With the IRS,0
Mercedes Castro,Yo Soy La De Sonora,Pedazo De Idiota,0
Jimmy Page,Outrider,Writes Of Winter,1988
The Bongo Man,Beat Treatment,Titan,0
Jorge Alfano,Inti: Mystical Music of the Andes,Inti Guauqui,0
Intars Busulis,Kino,Brivdiena,0
Phil Vassar,Phil Vassar,Like I Never Loved Before,2000
Novaspace,Dancing With Tears In My Eyes 2004,Dancing With Tears In My Eyes 2004 (Nova Mix (Club Version)),2004
Crematorium,The Process of Endtime,Dying Under A Binary Star,2005
Joe Rogan,Shiny Happy Jihad,Fear Factor (Shiny Happy Jihad),2007
Carroll Thompson,The Other Side of Love,Show Some Love Where Is The Love feat. MackaB,0
George Jones,George Jones-the Best of Vol. 1,I Don't Love You Anymore,0
Hector,20 Suosikkia / Lumi teki enkelin eteiseen,Sudenkorento -Life On Mars-,0
Steel Pulse,True Democracy,Man No Sober (LP Version),1982
Cocoa Tea,Israel's King,Hurry Up And Come,2008
Juan Carmona; Ricardo Larroze,Orillas,Marrakech,0
Murskahumppa,Murskapunkkia,Mua rakastan,0
Tha Liks,X.O. Experience,Da Da Da Da,2001
Miriam Yeung,Miriam,Quan Tou Tang,0
Chris Camozzi,Windows Of My Soul,Sunday In Marin,0
The Twinkle Brothers,Rasta Pon Top,It Gwine Dreada,0
Antonio Koudele,Aventura Cubana,TU MIRADA,0
Jimmy Johnson,Livin' The Life (Blues Reference),When There's A Will_ There's A Way,0
Bobby Darin,Things & Other Things,"Theme From ""Come September"" (LP Version)",2003
Vincent Baguian,Claude François_ Autrement Dit,Chanson Populaire,0
Furry Lewis,Furry Lewis 1927 - 1929,Judge Harsh Blues (Tk. 1),0
Jane Winther,Bardo,Singing  Bowls_Saxophone & Voice,0
David Rose & His Orchestra,In A Mellow Mood,One Love,2004
Najoua Belyzel,Au Féminin,Ma vie n'est pas la tienne (album),2009
Jennifer Lopez,I'm Glad,I'm Glad,2002
Dark Shadows,House Of Dark Shadows and Night Of Dark Shadows,Carolyn & Barnabas,0
Seventh Day Slumber,Take Everything,Famous One,2009
Azukx,Everything Is Everything,124 Stomp,0
Mr Brown,Liar Liar,So Say I,0
Noemí,Tributo a José Antonio Méndez,Será cuando regreses,0
Casiotone For The Painfully Alone,Twinkle Echo,Attic Room,2003
Les Rythmes Digitales feat. Nik Kershaw,Off The Wall - Ten Years of Wall of Sound,Sometimes,1999
Will Ackerman,The Opening Of Doors,A Movie Of A Placid Lake On A Moonless Night in September,1992
UFO,"Parker's Birthday ""Live in Texas",Electric Phase / Hot 'n' Ready / Pack It Up 'n' Go / Cherry / Out In The Street / Let It Roll / Too Hot To Handle,0
Michael Salgado,Un Recuerdo Especial,Te Vas Angel Mio,0
Criminal Class USA is Hush Hush Revolution,Criminal Class USA is Hush Hush Revolution,Many Weapons Many Men,0
Firehouse,Hold Your Fire,Talk Of The Town,1992
Douglas Miller,Living On The Top,You Can Make It (Album Version),0
Reptil,La Noche Del Reptil,Siempre,0
Pitch Black,Frequencies Fall,Big Trouble Upstairs,0
Samy Deluxe,Verdammtnochma!,Denk,2004
Daniel Johnston,The Late Great Daniel Johnston: Discovered Covered,The Story Of An Artist,1982
YZ,The Legend Of Floyd Jones,One Thing,0
Phil Collins,Love Songs,Testify,2002
Adam Ant,Ants Remastered Boxset,Mohair Locker Room Pin-Up Boys,1998
The Prodigy,Put Your Hands Up! 4,Firestarter,1996
Total Fucking Destruction,Zen And The Art Of Total Fucking Destruction,Enslaved By Propaganda,2007
Virtuoso,Virtuoso,Rakkahin -Be My Love-,0
P.o.d,When Angels and Serpents Dance,Kaliforn-Eye-A (Feat. Mike Muir),0
Cutting Edge,Alle Tre [2 Cd],Tune In,0
The Weegs,Meat the Weegs,Wouldn't Last a Weeg,0
Tresenlesen,Günther,Rülpsen Sie Eine Hauptstadt,1995
Nikos Kalaintzis,The Greek Folk Instruments:Santouri,Chira,0
Pat Metheny,New Chautauqua,Hermitage,1979
Kai Winding,The Incredible Kai Winding Trombones,Doodlin',1961
Ultraviolence,Blown Away,Stars (GROWTH Ultraviolence Mix),0
Brainchoke,Introspective,Untitled,0
He Is Legend,Suck Out The Poison,Stampede,2006
Hot Club Of Cowtown,Wishful Thinking,The Magic Violin,2009
Gary Go,Pacha Ibiza,Open Arms,2009
Funeral For A Friend,Tales Don't Tell Themselves,All Hands On Deck part 2: Open Water [Album Version],2007
Bill Murk,Praise Keeper,I Will Call Upon the Lord,0
New York Dolls,Manhattan Mayhem (a history of the Dolls),Human Being (1972 demo),0
PATSY CLINE & WILLIE NELSON,Rhinestone Cowboy,Life's Railway To Heaven,1991
DJ Omega,DJ Omega Classics Part 1,E. Warren,0
John Mayer,Dhammapada,Sannyasin,1976
Gaither Vocal Band,South African Homecoming,Little Is Much When God Is In It (South African Homecoming Album Version),0
Mister Ries featuring Six Foe,The Old Country,Booty Bounce,0
Mase,Welcome Back,My Harlem Lullaby (Album Version),0
Les Brown,Classic Years of Les Brown,Dance of the Blue Devils,0
Ragheb Alama,Ba'sha' ak,Gheera Away,0
Sandi Thom,I Wish I Was A Punk Rocker (With Flowers In My Hair),I Wish I Was A Punk Rocker (With Flowers In My Hair),2006
Kitaro,Live in Asia,Earth Born,1983
Swans Of Avon,Alive,Shining,0
Cece Winans,Everlasting Love,Come On Back Home,1998
Behemoth,Thelema 6,Hello Space Boy,2000
Norman Howard,Burn Baby Burn,The Sound From There,0
Richard Galliano_ Jean-Charles Capon_ Gilles Perrin,Blue Rondo à la Turk,Sing Me Softly of the Blues,0
Francis Lai,Mayerling,La Valse De La Cour (BOF Mayerling),0
Eden's Bridge,Celtic Psalms,Shout For Joy  (Celtic Psalms Album Version),0
Marc Shaiman,The Bucket List,Best In LA,2008
H-Town,Imitations Of Life,Here We Go Again,0
The Gathering,How To Measure A Planet?,Locked Away,0
Bobby Pulido,El Cazador,La Bruja Chafa,1999
Nightswimmer,Can the Mechanical Be Beautiful&?,Splitting The Seconds,0
Alice Cooper,Live! (Digitally Remastered),Goin' To The River,1982
Dakis,Ta Oriaotera Mou Tragoudia,Min Xechnas (Forse),0
The Katinas,Kennedy Center Homecoming,One More Time (Kennedy Center Homecoming Version),0
Shade Sheist / N.U.N.E. / King Arthur,Informal Introduction,The Urban Gospel,0
Maracaibo 15,Gaitas Platinum,18 De Noviembre,0
Arc Angels,Arc Angels,See What Tomorrow Brings,1992
bel canto,Magic Box,Rumour (Abstract Hip Hop Mix),1996
Dan Hicks,20 Hot Licks Hits,He Don't Care (He's Stoned),0
Elakelaiset,Humppakonsertto,Laakista humppa,1995
The Distillers,Coral Fang,Coral Fang (Album Version),2003
Daryl Hall & John Oates,Livetime,Rich Girl,1976
Remy Shand,The Way I Feel,The Second One,2002
Irini Merkouri,Aneta,Ela Edo Kardia Mou,0
Charly Garcia,Rock And Roll Yo,Tango,2003
Call To Preserve,From Isolation,Hindsight,2008
Cachao,Master Sessions Vol. II,Los Tres Glopes / The Three Beats (danza),0
Kiss,Gold (1974-1982),Anything For My Baby,0
Heaven 17,Penthouse And Pavement,I'm Your Money (12'' Extended Version) (2006 Digital Remaster),1981
Music Explosion,Little Bit O' Soul - The Best Of,I See The Light (2002 Digital Remaster),0
Ai Ai Ai,Neguits_ Angunies I Forats,Com Una Flama,1994
The Shamrock Singers,The Wild Rover,Fields Of Athenry,0
Lit,A Place In The Sun,Lovely Day,1999
The Cardigans,I Need Some Fine Wine And You_ You Need To Be Nicer,Explode,1998
Ziggy Marley And The Melody Makers,The Best of Ziggy Marley And The Melody Makers (1988 - 1993),New Love,0
Pictures of Then,And The Wicked Sea,When It Stings,2009
Janet Jackson Featuring Kanye West,Damita Jo,My Baby (Feat. Kanye West),2004
Bruno Sanfilippo,Sons of the Light,The Flight of the serpentarius,1991
The Last Vegas,Whatever Gets You Off,Another Lover,2009
Beneath The Sky,What Demons Do To Saints,No Such Thing As Control (Album Version),2007
Radiohead,The Best Of,2 + 2 = 5,2003
DJ Isaac,Focus / Backstage,Focus,0
The Gathering,Mandylion (Deluxe Edition),Fear The Sea,0
Ill Harmonics,Modern Heart Exhibit,Life,0
Mustafa Sandal,Araba,Beni Aglatma,0
Schoolyard Heroes,Abominations,The Last Man On Earth,2007
Charlie Byrd Trio,I've Got the World On a String,Goody Goody,0
Baby Rasta & Gringo,Sentenciados - Platinum Edition,Yo Quiero Contigo,0
Angela Dimitriou,Thisia Live,To Pouli,0
Frenchy,Bumps & Grinds,Baby_ It's Gonna Cost You,0
Natassa Theodoridou,I Ellada Ti Nichta 2 (Greece At Night 2),Sou Vazo Diskola,0
Light Of The World,The Best Of The Light Of The World,Pete's Crusade,1980
[kaleidoskop],...wir geh'n schon mal vor,deine liebe,0
Ghetto Mafia,Full Blooded Niggaz,This Is A Stick Up,0
Markus,20 Suosikkia / Jos vielä oot vapaa,Vankina vapauden,0
Bedrock,Emerald,Emerald,2004
Joanna Connor,Slidetime,Money Blues,0
Alicia Keys,The Diary Of Alicia Keys,Karma,2003
Sex Pistols,Sex Pistols - The Interviews,100 Club 1996 ''We Love You Beatles'' - Live,0
Free,Chronicles,Heartbreaker,1972
Dendemann,Die Pfütze des Eisbergs,Sachmagehtsnoch,2006
Digital Mystikz,Tectonic Plates 03,Molten,2006
Mario Rosenstock,Gift Grub 7,The Daddy,0
Zeca Baleiro,Baladas Do Asfalto e Outros Blue Ao Vivo,Telegrama,2002
Ned Miller,100 Country Classics,From A Jack To A King,1963
Eddie Cano,Broadway - Right Now!,It Only Takes A Moment (Album Version),0
Radio Birdman,Zeno Beach,Zeno Beach,2006
Richard Smith,Flow,Take That!,0
The Highwaymen,The Road Goes On Forever (10th Anniversary Edition),The Road Goes On Forever,1995
Lizzy Borden,Love You To Pieces,Love You to Pieces,1985
Papa Wemba,New morning,Phrase,0
Bobaflex,Apologize For Nothing,Medicine,2005
Francis Dhomont,Cycle de l'erance,Meteores mouvement de Chroniques de la lumier,0
John Mayall,Empty Rooms,Don't Waste My Time,1970
John Mayall,STORIES,The Witching Hour,2002
Spliff,85555,Heut' Nacht,1982
Grandmaster Flash,Ba-Dop-Boom-Bang,Underarms,1987
Lara Fabian,Toutes Les Femmes En Moi,L'Amour Existe Encore,2009
Deftones,Diamond Eyes,Diamond Eyes (Album Version),2010
Franco_ Valeriana,Io e te per sempre,Una dolce melodia,0
Yami Bolo,Live In Paris,Put Down Your Weapons,2000
Jars Of Clay,Mini Monsters EP,Love Me,2006
Klimperei,Patamob,Les Dépenaillés,0
Angelica Maria,Abrazame Fuerte,Te Necesito,0
Liars,Liars,Leather Prowler,2007
Giorgos Sabanis,To Fili Tis Zois,Dio Nisia,0
Pierre Perret,Le Monde de Pierrot,L'idole des femmes,1994
Shelly Manne,Li'l Abner,Jubilation T. Cornpone,0
Chris Eaton,To Have And To Hold,All Or Nothing  (Wonderful World Album Version),0
Little Milton,Best of 40's and 50's_ Vol. 16,Lookin' for My Baby,1994
Camp Lo,Another Heist,Black Connect 3,2009
Scott Ainslie,Terraplane,Terraplane Blues,0
Charlie Peacock,West Coast Diaries Vol.1-cass.,The Way Of Love (West Coast Diaries Vol. 1 Album Version),0
Dario Marianelli,Goodbye Bafana,The Harbour,2007
Bobby Pulido,Enséñame,La Rosa,1996
Jay Pérez,10 de Colección,Toda Mi Vida,0
RUN-DMC,King Of Rock,Slow And Low,1985
Eighteen Visions,Best Of,Life's Blood,1997
The Jackson Southernaires,Hear Our Prayers O Lord,Lift Jesus Up,0
Funeral For A Friend,Memory And Humanity,Kicking And Screaming,2008
30 Seconds To Mars,A Beautiful Lie + 30 Seconds To Mars,End Of The Beginning,2002
Sunnyland Slim,Be Careful How You Vote,Midnight Jump,1994
Moist,I Am What I Am,Floating,0
EPMD,Business As Usual,For My People,1990
SUMO,Obras Cumbres,Noche De Paz,1987
Gwen Stefani,4 In The Morning,4 In The Morning,2006
Eminem,The Slim Shady LP,Just Don't Give A Fuck,1998
Commander Cody And His Lost Planet Airmen,Tales From The Ozone,Cajun Baby (LP Version),1975
Vana,A New Day,Village Dance,0
Zbigniew Preisner,The Secret Garden,Leaving The Docks,1993
T.I.,T.I. VS T.I.P.,Respect This Hustle (Explicit Album Version),0
Bad Religion,Process Of Belief,You Don't Belong,2002
Marco Beltrami,I_ Robot,1001 Robots,2004
Faiz Ali Faiz,Teri Bandi Haan,Meeran Sad Laeen Je Toon,0
The Zebras,Worry a Lot,Marching,2006
Naughty By Nature,Nineteen Naughty Nine Nature's Fury,Ring The Alarm,1999
Sonora Carruseles,Discos Fuentes Salsa All Stars- La Biblia De La Salsa Vol. 1 & 2,Que Suene Mi Campana,2000
Michael McDonald,Take It To Heart,Tear It Up (LP Version),0
Ben Jelen,Sessions@AOL - EP,Come On (Sessions@AOL Version),0
Roni Size,Sound Advice / Forget Me Knots Remixes,Forget Me Knots (Bailey Remix),0
Vulture Industries,The Dystopia Journals,The Benevolent Path,2007
Janet Jackson,Again,Again (Instrumental),1993
The Cate Brothers,Radioland,Radioland,0
Carl Smith,Hey Joe,If I Couldn't Hold Back The Dawn,0
Astarte,Doomed Dark Years,Voyage to eternal Life,1998
Sleepy John Estes,I Ain't Gonna Be Worried No More 1929-1941,Down South Blues,1935
Suicidal Tendencies,Join The Army,Looking In Your Eyes,1987
Rita Chiarelli,The Italian Sessions,Chiove,2006
Steve Morse,Prime Cuts_ Volume 2,Red Barchetta (feat. James LaBrie_ James Murphey_ Sean Malone_ Sean Reinert & David Townson),0
Estopa,La Calle Es Tuya?,Apagon,0
Nicky B_ Naëlle,Rude Bwoy Love (Single),Rude Bwoy Love (feat. Dj Fly_ Dj Traxx_ T.Williams),0
Fredericks_ Goldman_ Jones,Rouge,Des Vôtres,0
Bo Carter,Twist It Babe (1931-1940),The Law Gonna Step On You (1931),0
Vodka Collins,Boy's Life,Bitches For Breakfast,0
Cristy Lane,27 Christmas Classics,It Came Upon A Midnight Clear,0
Roger Creager,Long Way To Mexico,All For The Sake Of The Song,2003
Professor Longhair,Rock'N Roll Gumbo,Doin' It,1985
Aerosmith,Young Lust: The Aerosmith Anthology,Crazy,1993
Red Hot Chili Peppers,Californication,Parallel Universe (Album Version),1999
Monique Morelli,Chansons De France,Elsa,0
Josh Groban,Awake,Lullaby [With Ladysmith Black Mambazo] (Album Version),2006
Tunsi,The Omen,Army,0
Zbigniew Preisner,3 Couleurs : Blanc,The Court,1994
Beyoncé,The Beyonce Experience Live Audio,Dangerously In Love Medley,0
Alexander Zonjic,Doin' The D,Little Sunflower,0
Jesse Malin,On Your Sleeve,Walk On The Wild Side,2008
Irini Merkouri,Mine Mazi Mou Apopse,Magiki Vradia,0
Billie Jo Spears,20 Of Her Best,Danny,0
Tim Wilson,It's A Sorry World,It Takes A Village (To Raise A Nut) (Live),0
Phil Collins,Both Sides,Everyday,1993
Joe Bonamassa,Joe Bonamassa Live From The Royal Albert Hall (Live Audio Version),Stop!,2009
Joe Lynn Turner,Nothing's Changed [Original Recording Remastered],Baby's Got A Habit,0
Howie Day,Stop All The World Now (SPECIAL EDITION VERSION),Collide,2003
Bitty McLean,Natural High,Over The River,1995
Tyrone Wells,Hold On,Need,2005
Michèle Bernard,Piano Voix,Amour noir N 7,2008
Emilio Tuero,Antología... Emilio Tuero,Nostalgia,0
Dennis O'Neill,Liszt: 'Tre Sonetti di Petrarca' & First Settings of Victor Hugo,Tre sonetti di Petrarca: III. I' vidi in terra angelici costumi - sonnet 156,0
Maximilian Hecker,Daylight,Creep Live Version,0
Open Hand,The Dream,11th Street,2000
The Pharcyde,Humboldt Beginnings,The Climb/Paranoia,2004
Angela Lashley,Suffer The Martyrs,Too Far From The Tree,0
Knack,Normal as the Next Guy,Dance Of Romance,0
Bob Carlisle,Nothing But The Truth,Watched By An Angel,0
Tomorrow,Blow-Up,Blow-Up (Outtake),0
Brian Dullaghan,Songs For A Wedding - 18 Songs For That Special Day,The Wedding,0
Groundhogs,U.S. Tour '72,Still a Fool,1968
Fito Paez,Tercer Mundo,Tercer Mundo,1990
The Crystal Method,Keep Hope Alive EP,Keep Hope Alive,1995
Los Chunguitos,La Medalla,La Medalla,2001
Frank Ifield,Remembering The Sixties,I'll Be Around,0
Johnny Pacheco,A Man And His Music,Viralo Al Reves,0
King Swamp,King Swamp,Glow,0
Bill Engvall,Here's Your Sign: Reloaded,Getting Old Sucks (Album Version),0
Hélio Ziskind,Trem Maluco e Outras Cantigas de Roda,Carre Cutia,0
Glen Ricks,President Of Love,For All We Know,0
Solomon,Beethoven: Piano Sonatas 29 & 32,"Piano Sonata No. 29 in B flat major Op. 106  ""Hammerklavier"" (2005 Digital Remaster): II.     Scherzo (Assai vivace) - Presto",0
Joe Lopez,A.B. Quintanilla III Presents Joe Lopez,Me Duele,2004
Jesus Jones,Doubt,Nothing To Hold Me,1990
Nana Caymmi,2 Em 1 (Dois Em Um),Palavras,0
Christie Hennessy,The Platinum Collection,Rick's Cafe,0
Aesop Rock,Labor Days,Coma,2001
Harvey Averne,The Harvey Averne Dozen,Accept Me,0
David Bowie,In Bertolt Brecht's Baal,Baal's Hymn,1982
K's Choice,Live,God In My Bed,1998
Black Sheep,8WM/Novakane,Novakane,0
Silverstein,Discovering The Waterfront,Defend You (Album Version),2005
The Jackson Southernaires,Power Packed,Somewhere In Between,0
Bonita,Album,It Could Never Be You,0
Carlos Nuñez,Un Galicien En Bretagne,St Patrick's An Dro,2003
El Gran Combo De Puerto Rico,Arroz Con Habichuela,No Hay Manera,2006
Tim Wilson,It's A Sorry World,Dale Darrell Waltrip Richard Petty Rusty Awesome Bill Irvin Gordon Earnhardt Smith...Johnson_ Jr. (Live),0
Fabolous,Real Talk,In My Hood (Explicit Album Version),2004
Sex Pistols,Spunk,Looking For A Kiss,1977
Malkit Singh,Best Of Golden Star,Holli Holi Nach Kuriye,2007
Dyango,Alma_ Corazón Y Vida,Alma_ Corazón Y Vida,0
Ann Nesby / Jamecia Bennett,Put It On Paper,Advice,0
fIREHOSE,Fromohio,Let The Drummer Have Some,1989
Bobby Valentin,Algo Nuevo,Yo Soy Abacua,1970
Zombie Girl,Endzeit Bunkertracks - Act IV: The Alfa Matrix Selection,The Darkness (Komor Kommando Mix),2009
Cutting Edge,The Big 14 'n More,She's Got A Brain (Leli / Zimmerman),0
Fred Merpol,L'éclusier,Glisse,0
Mar Azul,22 Cumbias Ardientes,Rancho Moreno,0
Étienne Daho,L'adorer,Cet Air Étrange (Take 1 - Abbey Road Rough Mix),0
Hacken Lee,Zhen Jin Dian - Hacken Lee 2,Kan Hai De Ri Zi,0
Punk'd Royal,Muscles,Young Urbans,0
"Buzzov¬""en",Welcome To Violence,I Don't Like You,0
Michael Stanley Band,MSB,Take The Time,1982
Weezer,Weezer (Rarities Edition),Mykel And Carli,2004
22-20s,22-20s,Hold On,2004
Life In Your Way,Ignite And Rebuild,When Rules Change,2005
Twenty 4 Seven,Best of,You Gotta Be Safe,0
Wilks,U gotta believe,Psalm 27,0
The King Sisters,The Very Best of the King Sisters,Milkman_ Keep Those Bottles Quiet,0
The Winans,Return,Together We Stand (Album Version),0
Cookies,House Candy - Bienvenue a La Discoteque,Believe In What I Say,2005
Angels,Time Is Ripe,Fifi,0
FFH,Voice From Home,Listen,2005
